label,select_sex,dmp_sex,dmp_age,dmp_city,dmp_education,dmp_price,dmp_model,user_state,first_preference,first_weight,second_preference,second_weight,freetype,categoryid,subcategoryid,allwords,vipwords,avgbuy
1,0,1,32,0,1010165000000010004,5488,1010107000000001153,2,1,59792,0,0,1,20001,20002,4084606,4035791,1916
0,0,1,23,1,1010165000000010007,2499,1010107000000001288,2,1,12505.1,0,0,1,20019,20026,1553439,2770957,3077
1,0,2,46,2,1010165000000010007,6688,1010107000000001421,2,2,263557,0,0,2,30020,30022,1425578,1316163,2427
0,0,0,0,1,0,\N,\N,2,2,1776.84,0,0,2,30020,30028,4127388,4144913,16198
1,0,2,18,3,1010165000000010007,\N,\N,2,1,3179.7,0,0,1,20054,20056,1848645,1553892,1536
1,0,2,18,3,1010165000000010007,\N,\N,2,1,3179.7,0,0,1,20054,20056,1848645,1553892,1536
1,0,2,18,3,1010165000000010007,\N,\N,2,1,3179.7,0,0,1,20054,20056,1848645,1553892,1536
1,0,2,18,3,1010165000000010007,\N,\N,2,1,3179.7,0,0,1,20054,20056,1848645,1553892,1536
1,0,2,18,3,1010165000000010007,\N,\N,2,1,3179.7,0,0,1,20054,20056,1848645,1553892,1536
1,0,2,18,3,1010165000000010007,\N,\N,2,1,3179.7,0,0,1,20054,20056,1848645,1553892,1536
1,0,2,18,3,1010165000000010007,\N,\N,2,1,3179.7,0,0,1,20054,20056,1848645,1553892,1536
1,0,2,18,3,1010165000000010007,\N,\N,2,1,3179.7,0,0,1,20054,20056,1848645,1553892,1536
1,0,2,18,3,1010165000000010007,\N,\N,2,1,3179.7,0,0,1,20054,20056,1848645,1553892,1536
1,0,2,18,3,1010165000000010007,\N,\N,2,1,3179.7,0,0,1,20054,20056,1848645,1553892,1536
0,0,2,26,6,1010165000000010004,0,1010107000000001224,2,2,31161.6,0,0,2,30020,30022,3172195,3133189,20104
0,0,1,30,3,1010165000000010009,6688,1010107000000001421,1,1,1947.74,0,0,1,20019,20020,13726379,13671917,6540
0,0,2,25,1,1010165000000010004,0,1010107000000001153,2,2,87724.8,0,0,2,30031,30035,1221168,1218525,21464
0,0,2,25,1,1010165000000010004,4299,1010107000000001153,0,0,0,0,0,2,30013,30015,2716236,2626303,33579
0,0,2,44,2,1010165000000010004,3988,1010107000000001153,2,2,97278.1,0,0,2,30013,30018,4511034,4947793,10538
1,0,2,31,0,1010165000000010004,1298,1010107000000001102,2,2,779168,0,0,2,30020,30027,1371071,1336156,1032
0,0,2,30,3,1010165000000010009,3998,1010107000000001102,2,2,28560.6,0,0,2,30020,30028,1928322,2533701,10188
0,0,2,34,3,1010165000000010007,1999,1010107000000001153,2,2,476510,0,0,2,30020,30027,602742,496947,6073
1,0,2,38,5,1010165000000010008,0,1010107000000001102,2,2,181754,0,0,2,30020,30027,602742,496947,6073
1,0,2,38,5,1010165000000010008,0,1010107000000001102,2,2,181754,0,0,2,30020,30027,602742,496947,6073
1,0,1,19,2,1010165000000010008,3299,1010107000000001288,2,2,480345,1,331011,2,30020,30027,602742,496947,6073
1,0,1,19,2,1010165000000010008,3299,1010107000000001288,2,2,480345,1,331011,2,30020,30027,602742,496947,6073
1,0,1,19,2,1010165000000010008,3299,1010107000000001288,2,2,480345,1,331011,2,30020,30027,602742,496947,6073
1,0,1,19,2,1010165000000010008,3299,1010107000000001288,2,2,480345,1,331011,2,30020,30027,602742,496947,6073
1,0,1,19,2,1010165000000010008,3299,1010107000000001288,2,2,480345,1,331011,2,30020,30027,602742,496947,6073
1,0,1,19,2,1010165000000010008,3299,1010107000000001288,2,2,480345,1,331011,2,30020,30027,602742,496947,6073
0,0,1,32,6,1010165000000010010,3099,1010107000000001153,1,1,23862.3,0,0,1,20001,20002,912041,856828,541
0,0,2,13,4,1010165000000010008,1799,1010107000000001079,2,1,320.27,2,169.97,1,20019,20020,4189646,4129841,160
0,0,1,43,3,1010165000000010004,0,1010107000000001153,2,1,7254.56,0,0,1,20019,20020,4189646,4129841,160
0,0,1,19,3,1010165000000010007,899,1010107000000001444,2,1,58111.1,0,0,1,20001,20003,2624362,2476942,3289
0,-1,1,17,2,1010165000000010008,3099,1010107000000001153,1,1,165.37,0,0,1,20001,20002,4723200,4705732,1352
1,0,2,46,5,1010165000000010004,0,1010107000000001153,2,2,29567.5,1,21228.1,2,30013,30015,1292881,1173846,17654
0,0,1,36,2,1010165000000010008,5488,1010107000000001153,2,1,20440.2,0,0,1,20001,20002,3284591,2971725,1622
1,0,2,22,1,1010165000000010008,4288,1010107000000001153,2,2,86775.7,0,0,2,30020,30028,1341973,1227187,39134
1,0,2,22,1,1010165000000010008,4288,1010107000000001153,2,2,86775.7,0,0,2,30020,30028,1341973,1227187,39134
0,0,1,23,1,1010165000000010008,2999,1010107000000001288,2,1,93132.6,3,17210.1,1,20001,20002,3614089,3338976,4535
0,0,2,26,4,1010165000000010004,2699,1010107000000001079,2,2,7646.81,3,1968.62,2,30020,30028,3311583,3410073,5916
0,0,1,30,1,1010165000000010009,6799,1010107000000001421,2,1,176705,0,0,1,20014,20018,1078463,815416,4158
0,-1,1,30,3,1010165000000010004,0,1010107000000001153,1,1,593.3,0,0,1,20001,20082,4936509,4874869,3015
0,1,1,19,4,1010165000000010009,1499,1010107000000001079,1,1,1731.61,2,1157.74,1,20001,20082,4936509,4874869,3015
0,-1,2,9,3,1010165000000010004,2299,1010107000000001079,2,1,5134.39,3,1980.16,1,20001,20082,4936509,4874869,3015
0,-1,2,15,6,1010165000000010004,1899,1010107000000001328,2,1,1718.66,0,0,1,20001,20082,4936509,4874869,3015
1,0,2,38,2,1010165000000010010,1299,1010107000000001288,2,2,2257.1,0,0,2,30013,30019,1475181,1414264,6955
1,0,2,38,2,1010165000000010010,1299,1010107000000001288,2,2,2257.1,0,0,2,30013,30019,1475181,1414264,6955
1,0,2,15,3,1010165000000010007,2880,1010107000000001153,2,2,65432.3,0,0,2,30020,30028,2877216,2777697,4409
1,0,2,15,3,1010165000000010007,2880,1010107000000001153,2,2,65432.3,0,0,2,30020,30028,2877216,2777697,4409
1,0,2,15,3,1010165000000010007,2880,1010107000000001153,2,2,65432.3,0,0,2,30020,30028,2877216,2777697,4409
1,0,2,15,3,1010165000000010007,2880,1010107000000001153,2,2,65432.3,0,0,2,30020,30028,2877216,2777697,4409
1,0,2,15,3,1010165000000010007,2880,1010107000000001153,2,2,65432.3,0,0,2,30020,30028,2877216,2777697,4409
1,0,2,15,3,1010165000000010007,2880,1010107000000001153,2,2,65432.3,0,0,2,30020,30028,2877216,2777697,4409
0,0,1,16,1,1010165000000010010,2699,1010107000000001199,2,1,3700.12,3,795.02,1,20032,20034,4775018,4787525,4614
0,0,2,42,6,1010165000000010007,2998,1010107000000001102,2,2,263237,0,0,2,30020,30028,1990489,1901045,4085
1,0,2,18,2,1010165000000010009,1998,1010107000000001102,2,2,66217,0,0,2,30042,30044,954846,794399,1028
0,0,2,25,2,1010165000000010010,8499,1010107000000001421,2,2,12676.6,3,1964.62,2,30013,30017,1970519,1890104,6184
0,0,1,25,4,1010165000000010008,0,1010107000000001102,2,1,56609.8,0,0,1,20010,20012,8393906,8220026,3925
1,0,2,27,4,1010165000000010004,0,1010107000000001153,2,2,102957,0,0,2,30013,30015,651104,640476,3242
1,0,2,27,4,1010165000000010004,0,1010107000000001153,2,2,102957,0,0,2,30013,30015,651104,640476,3242
1,0,2,27,4,1010165000000010004,0,1010107000000001153,2,2,102957,0,0,2,30013,30015,651104,640476,3242
0,0,0,0,\N,0,\N,\N,2,2,82732.7,0,0,2,30013,30015,1970391,1853292,8408
0,0,1,31,4,1010165000000010008,2699,1010107000000001079,2,2,29544.4,0,0,2,30020,30022,3444955,3273039,8614
0,0,2,17,4,1010165000000010007,1399,1010107000000001079,2,2,116265,0,0,2,30036,30040,1403851,1261594,1945
0,0,1,32,6,1010165000000010009,0,1010107000000001288,2,1,130741,0,0,1,20001,20002,2046007,1610268,772
1,0,0,0,\N,0,\N,\N,2,1,48288,0,0,1,20054,20056,1818345,1543755,1580
1,0,0,0,\N,0,\N,\N,2,1,48288,0,0,1,20054,20056,1818345,1543755,1580
1,0,2,32,3,1010165000000010004,1598,1010107000000001102,2,2,288643,0,0,2,30013,30017,660966,515424,2844
0,0,1,31,5,1010165000000010004,3399,1010107000000001153,2,1,78825.5,0,0,1,20042,20044,2556958,2260186,6321
0,0,1,35,6,1010165000000010010,1599,1010107000000001444,2,1,4150.31,0,0,1,20028,20084,1880128,1766039,139
0,0,0,0,\N,0,\N,\N,2,1,13188.6,0,0,1,20001,20002,7060242,6848635,5871
1,0,1,18,4,1010165000000010010,0,1010107000000001079,2,2,75984.1,0,0,2,30008,30093,2648613,2643558,6675
1,0,2,16,2,1010165000000010004,0,1010107000000001102,1,2,215.28,0,0,2,30020,30028,2611998,2539465,127363
1,0,2,16,2,1010165000000010004,0,1010107000000001102,1,2,215.28,0,0,2,30020,30028,2611998,2539465,127363
1,0,2,31,0,1010165000000010007,3299,1010107000000001130,2,2,972982,3,425914,2,30020,30022,1602285,1502029,3703
1,0,2,31,0,1010165000000010007,3299,1010107000000001130,2,2,972982,3,425914,2,30020,30022,1602285,1502029,3703
1,0,2,31,0,1010165000000010007,3299,1010107000000001130,2,2,972982,3,425914,2,30020,30022,1602285,1502029,3703
1,0,2,31,0,1010165000000010007,3299,1010107000000001130,2,2,972982,3,425914,2,30020,30022,1602285,1502029,3703
1,0,2,31,0,1010165000000010007,3299,1010107000000001130,2,2,972982,3,425914,2,30020,30022,1602285,1502029,3703
